location_id,location_name,parameter,value,unit,datetimeutc,datetimelocal,latitude,longitude
6112507,aq_g520,pm10,49.71067609635167,µg/m³,2025-12-01 00:00:00+00:00,2025-12-01 03:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,41.88679999999989,µg/m³,2025-12-01 00:00:00+00:00,2025-12-01 03:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,44.393843044514114,µg/m³,2025-12-01 01:00:00+00:00,2025-12-01 04:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,38.28550000000002,µg/m³,2025-12-01 01:00:00+00:00,2025-12-01 04:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,65.00861502880272,µg/m³,2025-12-01 02:00:00+00:00,2025-12-01 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,51.54149999999996,µg/m³,2025-12-01 02:00:00+00:00,2025-12-01 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,54.32209999999984,µg/m³,2025-12-01 03:00:00+00:00,2025-12-01 06:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,69.08225941013515,µg/m³,2025-12-01 03:00:00+00:00,2025-12-01 06:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,70.63680000000014,µg/m³,2025-12-01 04:00:00+00:00,2025-12-01 07:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,99.63473932593098,µg/m³,2025-12-01 04:00:00+00:00,2025-12-01 07:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,37.442500000000045,µg/m³,2025-12-01 06:00:00+00:00,2025-12-01 09:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,46.83666580011359,µg/m³,2025-12-01 06:00:00+00:00,2025-12-01 09:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,34.61142492614504,µg/m³,2025-12-01 07:00:00+00:00,2025-12-01 10:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,23.120099999999987,µg/m³,2025-12-01 07:00:00+00:00,2025-12-01 10:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,14.176300000000024,µg/m³,2025-12-01 09:00:00+00:00,2025-12-01 12:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,21.592796494685008,µg/m³,2025-12-01 09:00:00+00:00,2025-12-01 12:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,18.18490000000001,µg/m³,2025-12-01 10:00:00+00:00,2025-12-01 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,19.800138378317577,µg/m³,2025-12-01 10:00:00+00:00,2025-12-01 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,21.00330791586008,µg/m³,2025-12-01 11:00:00+00:00,2025-12-01 14:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,16.280000000000044,µg/m³,2025-12-01 11:00:00+00:00,2025-12-01 14:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,13.250299999999976,µg/m³,2025-12-01 13:00:00+00:00,2025-12-01 16:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,21.233825094112447,µg/m³,2025-12-01 13:00:00+00:00,2025-12-01 16:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,21.091587119633115,µg/m³,2025-12-01 14:00:00+00:00,2025-12-01 17:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,14.097300000000024,µg/m³,2025-12-01 14:00:00+00:00,2025-12-01 17:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,35.80887248114704,µg/m³,2025-12-01 15:00:00+00:00,2025-12-01 18:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,23.53270000000001,µg/m³,2025-12-01 15:00:00+00:00,2025-12-01 18:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,54.35752000553431,µg/m³,2025-12-01 16:00:00+00:00,2025-12-01 19:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,46.82089999999998,µg/m³,2025-12-01 16:00:00+00:00,2025-12-01 19:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,108.43270000000028,µg/m³,2025-12-01 18:00:00+00:00,2025-12-01 21:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,151.74680774726576,µg/m³,2025-12-01 18:00:00+00:00,2025-12-01 21:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,101.87829958558072,µg/m³,2025-12-01 19:00:00+00:00,2025-12-01 22:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,74.2378,µg/m³,2025-12-01 19:00:00+00:00,2025-12-01 22:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,59.941400000000016,µg/m³,2025-12-01 21:00:00+00:00,2025-12-02 00:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,74.68968735,µg/m³,2025-12-01 21:00:00+00:00,2025-12-02 00:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,51.35699999999999,µg/m³,2025-12-01 22:00:00+00:00,2025-12-02 01:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,66.33480295565127,µg/m³,2025-12-01 22:00:00+00:00,2025-12-02 01:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,32.43639999999985,µg/m³,2025-12-02 03:00:00+00:00,2025-12-02 06:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,40.80181303083848,µg/m³,2025-12-02 03:00:00+00:00,2025-12-02 06:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,48.48789651448052,µg/m³,2025-12-02 04:00:00+00:00,2025-12-02 07:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,43.02589999999994,µg/m³,2025-12-02 04:00:00+00:00,2025-12-02 07:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,54.6847073,µg/m³,2025-12-02 05:00:00+00:00,2025-12-02 08:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,44.09969999999997,µg/m³,2025-12-02 05:00:00+00:00,2025-12-02 08:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,55.99568570206657,µg/m³,2025-12-02 06:00:00+00:00,2025-12-02 09:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,43.01629999999999,µg/m³,2025-12-02 06:00:00+00:00,2025-12-02 09:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,16.98940000000001,µg/m³,2025-12-02 08:00:00+00:00,2025-12-02 11:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,27.338891033498093,µg/m³,2025-12-02 08:00:00+00:00,2025-12-02 11:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,28.45649408410477,µg/m³,2025-12-02 13:00:00+00:00,2025-12-02 16:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,16.71980000000004,µg/m³,2025-12-02 13:00:00+00:00,2025-12-02 16:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,24.572600000000023,µg/m³,2025-12-02 14:00:00+00:00,2025-12-02 17:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,37.66062611492965,µg/m³,2025-12-02 14:00:00+00:00,2025-12-02 17:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,46.96148542939627,µg/m³,2025-12-02 15:00:00+00:00,2025-12-02 18:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,33.20379999999991,µg/m³,2025-12-02 15:00:00+00:00,2025-12-02 18:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,55.88980000000002,µg/m³,2025-12-02 20:00:00+00:00,2025-12-02 23:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,70.75280479033998,µg/m³,2025-12-02 20:00:00+00:00,2025-12-02 23:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,40.47158367,µg/m³,2025-12-03 02:00:00+00:00,2025-12-03 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,33.25099999999991,µg/m³,2025-12-03 02:00:00+00:00,2025-12-03 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,24.238599999999963,µg/m³,2025-12-03 10:00:00+00:00,2025-12-03 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,36.52179894486024,µg/m³,2025-12-03 10:00:00+00:00,2025-12-03 13:00:00+03:00,0.30991,32.60045
